Date,Time,Temp (F),Dewpt (F),
2020-08-04,17:53,70,50,
2020-08-04,18:53,63,55,
2020-08-04,19:53,60,55,
2020-08-04,20:53,58,53,
2020-08-04,21:53,56,54,
2020-08-04,22:53,56,52,
2020-08-04,23:53,54,51,
2020-08-05,00:53,55,52,
2020-08-05,01:53,53,51,
2020-08-05,02:53,53,50,
2020-08-05,03:53,52,50,
2020-08-05,04:53,52,50,
2020-08-05,05:53,56,53,
2020-08-05,06:53,61,55,
2020-08-05,07:53,66,57,
2020-08-05,08:53,68,56,
2020-08-05,09:53,70,53,
2020-08-05,10:53,70,52,
2020-08-05,11:53,74,50,
2020-08-05,12:53,74,51,
2020-08-05,13:53,76,52,
2020-08-05,14:53,73,53,
2020-08-05,15:53,75,51,
2020-08-05,16:53,73,53,
2020-08-05,17:53,71,57,
2020-08-05,18:53,66,60,
2020-08-05,19:53,62,57,
2020-08-05,20:53,60,55,
2020-08-05,21:53,58,55,
2020-08-05,22:53,58,54,
2020-08-05,23:53,57,53,
2020-08-06,00:53,56,53,
2020-08-06,01:53,55,52,
2020-08-06,02:53,56,52,
2020-08-06,03:53,54,52,
2020-08-06,04:53,53,51,
2020-08-06,05:53,58,55,
2020-08-06,06:53,66,57,
2020-08-06,07:53,69,56,
2020-08-06,08:53,73,56,
2020-08-06,09:53,75,56,
2020-08-06,10:53,75,55,
2020-08-06,11:53,76,56,
2020-08-06,12:53,76,55,
2020-08-06,13:53,76,57,
2020-08-06,14:53,77,58,
2020-08-06,15:53,77,60,
2020-08-06,16:53,74,59,
2020-08-06,17:53,74,60,
2020-08-06,18:53,68,61,
2020-08-06,19:53,65,60,
2020-08-06,20:53,62,59,
2020-08-06,21:53,62,58,
2020-08-06,22:53,61,57,
2020-08-06,23:53,60,56,
2020-08-07,00:53,58,56,
2020-08-07,01:53,59,56,
2020-08-07,02:53,57,55,
2020-08-07,03:53,56,54,
2020-08-07,04:53,56,53,
2020-08-07,05:53,61,57,
2020-08-07,06:53,66,61,
2020-08-07,07:53,70,60,
2020-08-07,08:53,74,60,
2020-08-07,09:53,76,60,
2020-08-07,10:53,77,60,
2020-08-07,11:53,79,59,
2020-08-07,12:53,80,61,
2020-08-07,13:53,80,58,
2020-08-07,14:53,80,59,
2020-08-07,15:53,80,61,
2020-08-07,16:53,78,61,
2020-08-07,17:53,75,63,
2020-08-07,18:53,69,63,
2020-08-07,19:53,67,62,
2020-08-07,20:53,64,60,
2020-08-07,21:53,63,60,
2020-08-07,22:53,63,59,
2020-08-07,23:53,62,59,
2020-08-08,00:53,60,58,
2020-08-08,01:53,60,58,
2020-08-08,02:53,61,58,
2020-08-08,03:53,59,57,
2020-08-08,04:53,59,57,
2020-08-08,05:53,62,59,
2020-08-08,06:53,68,61,
2020-08-08,07:53,73,62,
2020-08-08,08:53,77,63,
2020-08-08,09:53,79,65,
2020-08-08,10:53,80,66,
2020-08-08,11:53,82,68,
2020-08-08,12:53,83,69,
2020-08-08,13:53,83,70,
2020-08-08,14:53,84,70,
2020-08-08,15:53,82,71,
2020-08-08,16:53,82,70,
2020-08-08,17:53,80,71,
2020-08-08,18:53,75,70,
2020-08-08,19:53,75,69,
2020-08-08,20:53,75,69,
2020-08-08,21:53,74,69,
2020-08-08,22:53,72,69,
2020-08-08,23:53,69,67,
2020-08-09,00:53,70,68,
2020-08-09,01:53,69,67,
2020-08-09,02:53,69,67,
2020-08-09,03:53,68,66,
2020-08-09,04:53,69,67,
2020-08-09,05:53,71,68,
2020-08-09,06:53,74,69,
2020-08-09,07:53,76,70,
2020-08-09,08:53,78,71,
2020-08-09,09:53,81,72,
2020-08-09,10:53,82,72,
2020-08-09,11:53,85,74,
2020-08-09,12:53,83,73,
2020-08-09,13:53,85,75,
2020-08-09,14:53,84,74,
2020-08-09,15:53,84,73,
2020-08-09,16:53,83,74,
2020-08-09,17:53,82,74,
2020-08-09,18:53,79,74,
2020-08-09,19:53,77,74,
2020-08-09,20:53,75,73,
2020-08-09,21:53,74,72,
2020-08-09,22:53,74,72,
2020-08-09,23:53,74,72,
2020-08-10,00:53,73,72,
2020-08-10,01:53,74,72,
2020-08-10,02:53,74,72,
2020-08-10,03:53,74,72,
2020-08-10,04:53,75,72,
2020-08-10,05:53,74,72,
2020-08-10,06:53,75,72,
2020-08-10,07:53,78,70,
2020-08-10,08:53,80,73,
2020-08-10,09:53,85,77,
2020-08-10,10:53,87,77,
2020-08-10,11:53,88,78,
2020-08-10,12:53,90,79,
2020-08-10,13:53,89,79,
2020-08-10,14:53,91,79,
2020-08-10,15:53,68,66,
2020-08-10,16:53,70,66,
2020-08-10,17:53,70,66,
2020-08-10,18:53,69,67,
2020-08-10,19:53,69,66,
2020-08-10,20:53,70,66,
2020-08-10,21:53,70,67,
2020-08-10,22:53,68,66,
2020-08-10,23:53,67,65,
2020-08-11,00:53,66,65,
2020-08-11,01:53,66,65,
2020-08-11,02:53,66,65,
2020-08-11,03:53,65,64,
2020-08-11,04:53,64,63,
2020-08-11,05:53,65,64,
2020-08-11,06:53,66,66,
2020-08-11,07:53,68,66,
2020-08-11,08:53,70,67,
2020-08-11,09:53,72,67,
2020-08-11,10:53,74,66,
2020-08-11,11:53,77,68,
2020-08-11,12:53,78,68,
2020-08-11,13:53,79,68,
2020-08-11,14:53,79,69,
2020-08-11,15:53,80,68,
2020-08-11,16:53,80,69,
2020-08-11,17:53,76,71,
2020-08-11,18:53,73,70,
2020-08-11,19:53,71,68,
2020-08-11,20:53,70,68,
2020-08-11,21:53,70,68,
2020-08-11,22:53,68,67,
2020-08-11,23:53,68,66,
2020-08-12,00:53,67,64,
2020-08-12,01:53,66,63,
2020-08-12,02:53,66,62,
2020-08-12,03:53,66,61,
2020-08-12,04:53,65,60,
2020-08-12,05:53,65,61,
2020-08-12,06:53,69,61,
2020-08-12,07:53,72,63,
2020-08-12,08:53,76,66,
2020-08-12,09:53,78,65,
2020-08-12,10:53,80,64,
2020-08-12,11:53,81,66,
2020-08-12,12:53,83,64,
2020-08-12,13:53,84,62,
2020-08-12,14:53,83,62,
2020-08-12,15:53,84,61,
2020-08-12,16:53,81,62,
2020-08-12,17:53,79,64,
2020-08-12,18:53,74,63,
2020-08-12,19:53,71,63,
2020-08-12,20:53,68,64,
2020-08-12,21:53,69,63,
2020-08-12,22:53,70,65,
2020-08-12,23:53,69,64,
2020-08-13,00:53,69,65,
2020-08-13,01:53,67,64,
2020-08-13,02:53,67,64,
2020-08-13,03:53,66,64,
2020-08-13,04:53,65,63,
2020-08-13,05:53,66,65,
2020-08-13,06:53,71,68,
2020-08-13,07:53,75,69,
2020-08-13,08:53,79,71,
2020-08-13,09:53,80,72,
2020-08-13,10:53,81,72,
2020-08-13,11:53,81,71,
2020-08-13,12:53,82,71,
2020-08-13,13:53,81,71,
2020-08-13,14:53,81,71,
2020-08-13,15:53,81,72,
2020-08-13,16:53,80,71,
2020-08-13,17:53,79,70,
2020-08-13,18:53,75,70,
2020-08-13,19:53,72,68,
2020-08-13,20:53,72,68,
2020-08-13,21:53,70,66,
2020-08-13,22:53,70,64,
2020-08-13,23:53,67,64,
2020-08-14,00:53,66,62,
2020-08-14,01:53,66,62,
2020-08-14,02:53,68,64,
2020-08-14,03:53,68,64,
2020-08-14,04:53,68,64,
2020-08-14,05:53,69,64,
2020-08-14,06:53,71,65,
2020-08-14,07:53,74,67,
2020-08-14,08:53,77,69,
2020-08-14,09:53,78,69,
2020-08-14,10:53,83,68,
2020-08-14,11:53,84,68,
2020-08-14,12:53,85,71,
2020-08-14,13:53,83,70,
2020-08-14,14:53,86,69,
2020-08-14,15:53,85,69,
2020-08-14,16:53,84,65,
2020-08-14,17:53,82,66,
2020-08-14,18:53,75,65,
2020-08-14,19:53,70,65,
2020-08-14,20:53,68,64,
2020-08-14,21:53,67,64,
2020-08-14,22:53,65,63,
2020-08-14,23:53,65,62,
2020-08-15,00:53,64,62,
2020-08-15,01:53,64,62,
2020-08-15,02:53,63,61,
2020-08-15,03:53,62,61,
2020-08-15,04:53,61,60,
2020-08-15,05:53,64,63,
2020-08-15,06:53,72,68,
2020-08-15,07:53,76,70,
2020-08-15,08:53,80,70,
2020-08-15,09:53,83,68,
2020-08-15,10:53,84,68,
2020-08-15,11:53,84,70,
2020-08-15,12:53,85,71,
2020-08-15,13:53,85,70,
2020-08-15,14:53,86,71,
2020-08-15,15:53,85,70,
2020-08-15,16:53,82,69,
2020-08-15,17:53,79,71,
2020-08-15,18:53,77,71,
2020-08-15,19:53,75,71,
2020-08-15,20:53,72,70,
2020-08-15,21:53,71,70,
2020-08-15,22:53,71,68,
2020-08-15,23:53,72,66,
2020-08-16,00:53,70,65,
2020-08-16,01:53,67,63,
2020-08-16,02:53,62,61,
2020-08-16,03:53,61,59,
2020-08-16,04:53,60,58,
2020-08-16,05:53,61,58,
2020-08-16,06:53,65,60,
2020-08-16,07:53,69,61,
2020-08-16,08:53,73,62,
2020-08-16,09:53,77,60,
2020-08-16,10:53,78,58,
2020-08-16,11:53,80,57,
2020-08-16,12:53,82,58,
2020-08-16,13:53,83,59,
2020-08-16,14:53,82,61,
2020-08-16,15:53,81,63,
2020-08-16,16:53,80,65,
2020-08-16,17:53,77,66,
2020-08-16,18:53,72,66,
2020-08-16,19:53,69,65,
2020-08-16,20:53,69,65,
2020-08-16,21:53,67,64,
2020-08-16,22:53,66,63,
2020-08-16,23:53,65,63,
2020-08-17,00:53,64,62,
2020-08-17,01:53,63,61,
2020-08-17,02:53,62,61,
2020-08-17,03:53,62,60,
2020-08-17,04:53,62,60,
2020-08-17,05:53,64,63,
2020-08-17,06:53,68,65,
2020-08-17,07:53,73,67,
2020-08-17,08:53,77,68,
2020-08-17,09:53,81,68,
2020-08-17,10:53,83,68,
2020-08-17,11:53,84,64,
2020-08-17,12:53,83,63,
2020-08-17,13:53,85,65,
2020-08-17,14:53,84,64,
2020-08-17,15:53,84,67,
2020-08-17,16:53,83,64,
2020-08-17,17:53,80,68,
2020-08-17,18:53,75,69,
2020-08-17,19:53,73,70,
2020-08-17,20:53,69,66,
2020-08-17,21:53,69,68,
2020-08-17,22:53,71,69,
2020-08-17,23:53,71,68,
2020-08-18,00:53,70,66,
2020-08-18,01:53,69,64,
2020-08-18,02:53,68,65,
2020-08-18,03:53,68,65,
2020-08-18,04:53,68,65,
2020-08-18,05:53,68,63,
2020-08-18,06:53,70,64,
2020-08-18,07:53,70,62,
2020-08-18,08:53,73,62,
2020-08-18,09:53,75,62,
2020-08-18,10:53,77,62,
2020-08-18,11:53,78,60,
2020-08-18,12:53,79,61,
2020-08-18,13:53,79,62,
2020-08-18,14:53,80,61,
2020-08-18,15:53,77,60,
2020-08-18,16:53,77,58,
2020-08-18,17:53,74,57,
2020-08-18,18:53,70,56,
2020-08-18,19:53,68,54,
2020-08-18,20:53,66,52,
2020-08-18,21:53,64,52,
2020-08-18,22:53,62,55,
2020-08-18,23:53,57,53,
2020-08-19,00:53,58,52,
2020-08-19,01:53,58,53,
2020-08-19,02:53,56,52,
2020-08-19,03:53,59,53,
2020-08-19,04:53,58,52,
2020-08-19,05:53,60,50,
2020-08-19,06:53,63,52,
2020-08-19,07:53,68,53,
2020-08-19,08:53,71,53,
2020-08-19,09:53,72,53,
2020-08-19,10:53,74,49,
2020-08-19,11:53,77,52,
2020-08-19,12:53,77,51,
2020-08-19,13:53,77,53,
2020-08-19,14:53,78,54,
2020-08-19,15:53,78,53,
2020-08-19,16:53,76,54,
2020-08-19,17:53,74,54,
2020-08-19,18:53,66,58,
2020-08-19,19:53,63,57,
2020-08-19,20:53,62,56,
2020-08-19,21:53,60,55,
2020-08-19,22:53,58,55,
2020-08-19,23:53,58,54,
2020-08-20,00:53,56,53,
2020-08-20,01:53,57,53,
2020-08-20,02:53,56,52,
2020-08-20,03:53,55,52,
2020-08-20,04:53,55,52,
2020-08-20,05:53,56,53,
2020-08-20,06:53,65,57,
2020-08-20,07:53,70,56,
2020-08-20,08:53,74,60,
2020-08-20,09:53,75,58,
2020-08-20,10:53,77,59,
2020-08-20,11:53,78,58,
2020-08-20,12:53,79,60,
2020-08-20,13:53,79,60,
2020-08-20,14:53,79,60,
2020-08-20,15:53,79,60,
2020-08-20,16:53,78,59,
2020-08-20,17:53,75,64,
2020-08-20,18:53,68,63,
2020-08-20,19:53,64,60,
2020-08-20,20:53,64,59,
2020-08-20,21:53,61,58,
2020-08-20,22:53,61,58,
2020-08-20,23:53,60,57,
2020-08-21,00:53,59,56,
2020-08-21,01:53,58,56,
2020-08-21,02:53,58,55,
2020-08-21,03:53,57,55,
2020-08-21,04:53,57,55,
2020-08-21,05:53,59,57,
2020-08-21,06:53,66,61,
2020-08-21,07:53,71,63,
2020-08-21,08:53,75,61,
2020-08-21,09:53,79,61,
2020-08-21,10:53,80,62,
2020-08-21,11:53,80,61,
2020-08-21,12:53,80,59,
2020-08-21,13:53,82,62,
2020-08-21,14:53,83,61,
2020-08-21,15:53,81,63,
2020-08-21,16:53,80,62,
2020-08-21,17:53,78,66,
2020-08-21,18:53,71,65,
2020-08-21,19:53,67,63,
2020-08-21,20:53,65,61,
2020-08-21,21:53,64,61,
2020-08-21,22:53,63,60,
2020-08-21,23:53,62,59,
2020-08-22,00:53,61,58,
2020-08-22,01:53,60,58,
2020-08-22,02:53,60,58,
2020-08-22,03:53,59,58,
2020-08-22,04:53,60,58,
2020-08-22,05:53,61,59,
2020-08-22,06:53,69,64,
2020-08-22,07:53,74,65,
2020-08-22,08:53,77,63,
2020-08-22,09:53,79,62,
2020-08-22,10:53,81,63,
2020-08-22,11:53,82,64,
2020-08-22,12:53,83,62,
2020-08-22,13:53,83,63,
2020-08-22,14:53,83,63,
2020-08-22,15:53,83,63,
2020-08-22,16:53,81,63,
2020-08-22,17:53,77,68,
2020-08-22,18:53,71,66,
2020-08-22,19:53,68,64,
2020-08-22,20:53,66,62,
2020-08-22,21:53,64,61,
2020-08-22,22:53,63,60,
2020-08-22,23:53,63,60,
2020-08-23,00:53,62,60,
2020-08-23,01:53,60,59,
2020-08-23,02:53,61,60,
2020-08-23,03:53,61,60,
2020-08-23,04:53,63,61,
2020-08-23,05:53,64,62,
2020-08-23,06:53,69,65,
2020-08-23,07:53,74,68,
2020-08-23,08:53,79,66,
2020-08-23,09:53,82,69,
2020-08-23,10:53,84,69,
2020-08-23,11:53,85,68,
2020-08-23,12:53,87,70,
2020-08-23,13:53,85,70,
2020-08-23,14:53,87,70,
2020-08-23,15:53,85,70,
2020-08-23,16:53,83,72,
2020-08-23,17:53,80,72,
2020-08-23,18:53,78,71,
2020-08-23,19:53,76,71,
2020-08-23,20:53,74,70,
2020-08-23,21:53,73,70,
2020-08-23,22:53,72,69,
2020-08-23,23:53,71,68,
2020-08-24,00:53,70,68,
2020-08-24,01:53,70,68,
2020-08-24,02:53,70,68,
2020-08-24,03:53,70,68,
2020-08-24,04:53,69,68,
2020-08-24,05:53,69,68,
2020-08-24,06:53,73,69,
2020-08-24,07:53,77,71,
2020-08-24,08:53,80,73,
2020-08-24,09:53,84,74,
2020-08-24,10:53,87,74,
2020-08-24,11:53,89,74,
2020-08-24,12:53,90,72,
2020-08-24,13:53,91,72,
2020-08-24,14:53,91,73,
2020-08-24,15:53,90,72,
2020-08-24,16:53,89,73,
2020-08-24,17:53,85,76,
2020-08-24,18:53,80,75,
2020-08-24,19:53,78,74,
2020-08-24,20:53,77,73,
2020-08-24,21:53,75,72,
2020-08-24,22:53,74,72,
2020-08-24,23:53,74,72,
2020-08-25,00:53,73,71,
2020-08-25,01:53,72,70,
2020-08-25,02:53,72,69,
2020-08-25,03:53,70,68,
2020-08-25,04:53,69,68,
2020-08-25,05:53,70,68,
2020-08-25,06:53,74,71,
2020-08-25,07:53,79,72,
2020-08-25,08:53,82,73,
2020-08-25,09:53,86,74,
2020-08-25,10:53,89,73,
2020-08-25,11:53,89,73,
2020-08-25,12:53,90,73,
2020-08-25,13:53,90,72,
2020-08-25,14:53,90,72,
2020-08-25,15:53,89,72,
2020-08-25,16:53,88,74,
2020-08-25,17:53,84,75,
2020-08-25,18:53,79,74,
2020-08-25,19:53,76,73,
2020-08-25,20:53,75,72,
2020-08-25,21:53,74,71,
2020-08-25,22:53,73,71,
2020-08-25,23:53,73,70,
2020-08-26,00:53,72,70,
2020-08-26,01:53,71,69,
2020-08-26,02:53,70,69,
2020-08-26,03:53,70,68,
2020-08-26,04:53,69,68,
2020-08-26,05:53,69,67,
2020-08-26,06:53,73,70,
2020-08-26,07:53,78,72,
2020-08-26,08:53,82,72,
2020-08-26,09:53,85,73,
2020-08-26,10:53,87,71,
2020-08-26,11:53,88,72,
2020-08-26,12:53,89,72,
2020-08-26,13:53,89,72,
2020-08-26,14:53,89,72,
2020-08-26,15:53,88,73,
2020-08-26,16:53,86,73,
2020-08-26,17:53,84,73,
2020-08-26,18:53,79,74,
2020-08-26,19:53,77,74,
2020-08-26,20:53,77,74,
2020-08-26,21:53,76,73,
2020-08-26,22:53,76,74,
2020-08-26,23:53,75,73,
2020-08-27,00:53,74,73,
2020-08-27,01:53,74,73,
2020-08-27,02:53,74,73,
2020-08-27,03:53,74,74,
2020-08-27,04:53,75,74,
2020-08-27,05:53,75,74,
2020-08-27,06:53,76,75,
2020-08-27,07:53,77,75,
2020-08-27,08:53,80,76,
2020-08-27,09:53,82,75,
2020-08-27,10:53,85,75,
2020-08-27,11:53,83,74,
2020-08-27,12:53,85,75,
2020-08-27,13:53,86,75,
2020-08-27,14:53,87,75,
2020-08-27,15:53,86,74,
2020-08-27,16:53,85,75,
2020-08-27,17:53,82,75,
2020-08-27,18:53,79,75,
2020-08-27,19:53,78,75,
2020-08-27,20:53,76,74,
2020-08-27,21:53,76,74,
2020-08-27,22:53,76,75,
2020-08-27,23:53,76,75,
2020-08-28,00:53,75,74,
2020-08-28,01:53,75,74,
2020-08-28,02:53,73,72,
2020-08-28,03:53,72,71,
2020-08-28,04:53,72,71,
2020-08-28,05:53,73,72,
2020-08-28,06:53,74,73,
2020-08-28,07:53,76,74,
2020-08-28,08:53,81,75,
2020-08-28,09:53,83,74,
2020-08-28,10:53,86,74,
2020-08-28,11:53,87,71,
2020-08-28,12:53,85,71,
2020-08-28,13:53,88,71,
2020-08-28,14:53,89,72,
2020-08-28,15:53,88,71,
2020-08-28,16:53,87,73,
2020-08-28,17:53,84,73,
2020-08-28,18:53,78,73,
2020-08-28,19:53,75,72,
2020-08-28,20:53,75,72,
2020-08-28,21:53,75,72,
2020-08-28,22:53,73,71,
2020-08-28,23:53,74,71,
2020-08-29,00:53,73,71,
2020-08-29,01:53,73,71,
2020-08-29,02:53,73,72,
2020-08-29,03:53,75,71,
2020-08-29,04:53,73,69,
2020-08-29,05:53,71,68,
2020-08-29,06:53,73,68,
2020-08-29,07:53,76,68,
2020-08-29,08:53,78,68,
2020-08-29,09:53,79,68,
2020-08-29,10:53,80,68,
2020-08-29,11:53,80,66,
2020-08-29,12:53,80,64,
2020-08-29,13:53,81,64,
2020-08-29,14:53,80,62,
2020-08-29,15:53,77,57,
2020-08-29,16:53,75,59,
2020-08-29,17:53,70,60,
2020-08-29,18:53,65,59,
2020-08-29,19:53,62,57,
2020-08-29,20:53,60,56,
2020-08-29,21:53,60,57,
2020-08-29,22:53,57,55,
2020-08-29,23:53,56,53,
2020-08-30,00:53,57,53,
2020-08-30,01:53,58,53,
2020-08-30,02:53,58,53,
2020-08-30,03:53,56,52,
2020-08-30,04:53,54,51,
2020-08-30,05:53,55,52,
2020-08-30,06:53,64,58,
2020-08-30,07:53,68,59,
2020-08-30,08:53,73,58,
2020-08-30,09:53,74,57,
2020-08-30,10:53,76,59,
2020-08-30,11:53,77,57,
2020-08-30,12:53,77,58,
2020-08-30,13:53,77,57,
2020-08-30,14:53,79,57,
2020-08-30,15:53,76,59,
2020-08-30,16:53,74,61,
2020-08-30,17:53,70,61,
2020-08-30,18:53,65,59,
2020-08-30,19:53,63,58,
2020-08-30,20:53,62,58,
2020-08-30,21:53,63,58,
2020-08-30,22:53,60,57,
2020-08-30,23:53,60,57,
2020-08-31,00:53,60,57,
2020-08-31,01:53,61,58,
2020-08-31,02:53,60,58,
2020-08-31,03:53,60,57,
2020-08-31,04:53,59,57,
2020-08-31,05:53,60,57,
2020-08-31,06:53,63,59,
2020-08-31,07:53,68,61,
2020-08-31,08:53,70,63,
2020-08-31,09:53,75,64,
2020-08-31,10:53,78,65,
2020-08-31,11:53,81,67,
2020-08-31,12:53,82,68,
2020-08-31,13:53,82,69,
2020-08-31,14:53,80,69,
2020-08-31,15:53,80,70,
2020-08-31,16:53,79,71,
2020-08-31,17:53,77,71,
2020-08-31,18:53,73,70,
2020-08-31,19:53,71,68,
2020-08-31,20:53,70,68,
2020-08-31,21:53,69,68,
2020-08-31,22:53,69,68,
2020-08-31,23:53,68,67,
